X,Y,FID,OBJECTID,Fin_origin,F_Ampliada,F_Conjunt,Tipo,Vazao_m³_,Vazao_m³1,Emissao,Validade,Ato_normat,Municipio,UF,Bacia,Corpo_hid,Lat_decim,Long_decim
-45.9728700394429,-12.0662697987881,0,1,DESSEDENTAÇÃO ANIMAL,Dessedentação animal,Outros,Superficial,8.875,0.002465,2014/02/21 00:00:00+00,2018/02/20 00:00:00+00,6997/14,LUIS EDUARDO MAGALHÃES,BA, ,BALSAS,-12.065833,-45.9725
-45.9728700196421,-12.0518252863394,1,2,DESSEDENTAÇÃO ANIMAL,Dessedentação animal,Outros,Superficial,4.375,0.001215,2014/07/10 00:00:00+00,2018/07/10 00:00:00+00,7857/14,LUIS EDUARDO MAGALHÃES,BA, ,BALSAS,-12.051389,-45.9725
-45.040365006479,-12.815719007818,2,3,DESSEDENTAÇÃO ANIMAL,Dessedentação animal,Outros,Superficial,6.666667,0.001852,2015/07/16 00:00:00+00,2019/07/15 00:00:00+00,10.021/15,SÃO DESIDÉRIO,BA, ,RIO DOS PORCOS,-12.815278,-45.04
-45.9495366966526,-12.169436976973,3,4,CONSUMO INDUSTRIAL,Indústria,Indústria,Superficial,2.5,0.000694,2014/09/30 00:00:00+00,2018/09/29 00:00:00+00,8459/14,LUIS EDUARDO MAGALHÃES,BA, ,RIO DAS PEDRAS,-12.169,-45.949167
-45.72106318931,-12.3100490503826,4,5,CONSUMO INDUSTRIAL,Indústria,Indústria,Superficial,6.25,0.001736,2015/07/23 00:00:00+00,2019/07/22 00:00:00+00,10.061/15,LUIS EDUAROD MAGALHÃES,BA, ,RIO DE ONDAS,-12.309611,-45.720694
-44.7823052358888,-13.00016189549,5,6,CONSUMO INDUSTRIAL,Indústria,Indústria,Superficial,370,0.102778,2015/07/31 00:00:00+00,2018/07/30 00:00:00+00,10.129/15,SÃO DESIDÉRIO,BA, ,RIO GUARÁ,-12.999719,-44.781942
-45.4956481537658,-14.3546142101945,6,7,IRRIGAÇÃO,Irrigação,Irrigação,Superficial,3335.541667,0.926539,2013/08/23 00:00:00+00,2017/08/23 00:00:00+00,5651/13,JABORANDI,BA, ,RIO FORMOSO,-14.354167,-45.495278
-45.408980820975,-14.2965585327422,7,8,IRRIGAÇÃO,Irrigação,Irrigação,Superficial,1719.166667,0.477546,2013/08/23 00:00:00+00,2017/08/23 00:00:00+00,5650/13,JABORANDI,BA, ,RIO FORMOSO,-14.296111,-45.408611
-45.5425897856915,-12.2965492275773,8,9,IRRIGAÇÃO,Irrigação,Irrigação,Superficial,1008.375,0.280104,2013/09/08 00:00:00+00,2017/09/08 00:00:00+00,5795/13,BARREIRAS,BA, ,RIO DE ONDAS,-12.296111,-45.542222
-45.1917543770757,-12.4537726611385,9,10,IRRIGAÇÃO,Irrigação,Irrigação,Superficial,7756.666667,2.15463,2013/09/10 00:00:00+00,2017/09/10 00:00:00+00,5800/13,SÃO DESIDÉRIO,BA, ,RIO DAS FÊMEAS,-12.453333,-45.191389
