Ano;Area;NIVEL_1;REG_HIDR;DIV_HIDRO;NIVEL_2;NIVEL_3;GEOCODIGO;NOME;UF;REGIAO;MESOREGIAO;MICROREGIA
2020;18,40000;F;RH do SAO FRANCISCO;S“o Francisco;SAO FRANC MED;VERDE GR 02;2917334;Iui∑;BA;Nordeste;CENTRO SUL BAIANO;GUANAMBI
2020;101,90000;G;RH ATLANTICO LESTE;Atl‘ntico Leste;PARAGUACU;PARAGUACU 01;2921906;Mucug€;BA;Nordeste;CENTRO SUL BAIANO;SEABRA
2020;101,90000;G;RH ATLANTICO LESTE;Atl‘ntico Leste;PARAGUACU;PARAGUACU 01;2921906;Mucug€;BA;Nordeste;CENTRO SUL BAIANO;SEABRA
2020;101,90000;G;RH ATLANTICO LESTE;Atl‘ntico Leste;PARAGUACU;PARAGUACU 01;2921906;Mucug€;BA;Nordeste;CENTRO SUL BAIANO;SEABRA
2020;101,90000;G;RH ATLANTICO LESTE;Atl‘ntico Leste;PARAGUACU;PARAGUACU 01;2921906;Mucug€;BA;Nordeste;CENTRO SUL BAIANO;SEABRA
2020;101,90000;G;RH ATLANTICO LESTE;Atl‘ntico Leste;PARAGUACU;PARAGUACU 01;2921906;Mucug€;BA;Nordeste;CENTRO SUL BAIANO;SEABRA
2020;158,90000;F;RH do SAO FRANCISCO;S“o Francisco;SAO FRANC MED;CARINHANHA 02;2908101;Cocos;BA;Nordeste;EXTREMO OESTE BAIANO;SANTA MARIA DA VITORIA
2020;160,20000;F;RH do SAO FRANCISCO;S“o Francisco;SAO FRANC MED;CARINHANHA 02;2908101;Cocos;BA;Nordeste;EXTREMO OESTE BAIANO;SANTA MARIA DA VITORIA
2020;162,20000;F;RH do SAO FRANCISCO;S“o Francisco;SAO FRANC MED;CARINHANHA 02;2908101;Cocos;BA;Nordeste;EXTREMO OESTE BAIANO;SANTA MARIA DA VITORIA
2020;101,30000;F;RH do SAO FRANCISCO;S“o Francisco;SAO FRANC MED;GRANDE SF 01;2909406;Cotegipe;BA;Nordeste;EXTREMO OESTE BAIANO;COTEGIPE
2020;8,90000;F;RH do SAO FRANCISCO;S“o Francisco;SAO FRANC MED;CARINHANHA 02;2910776;Feira da Mata;BA;Nordeste;VALE SAO-FRANCISCANO DA BAHIA;BOM JESUS DA LAPA
2020;30,00000;F;RH do SAO FRANCISCO;S“o Francisco;SAO FRANC MED;CARINHANHA 02;2910776;Feira da Mata;BA;Nordeste;VALE SAO-FRANCISCANO DA BAHIA;BOM JESUS DA LAPA
